embed_dim,gamma,lamda,steps,use_nmf,mse,rmse
32,0.05,0.5,5,True,8.341933527337442,2.888240559118551
32,0.05,0.5,5,False,8.715537315197693,2.95220888745998
32,0.05,0.5,10,True,7.574406678434835,2.752163999189517
32,0.05,0.5,10,False,7.175779381103179,2.6787645251315353
32,0.05,0.5,20,True,7.070005245973019,2.6589481465370888
32,0.05,0.5,20,False,6.898224745832255,2.6264471717192897
32,0.05,0.5,30,True,7.844416646240572,2.800788575783715
32,0.05,0.5,30,False,7.8921667685641905,2.809300049578932
32,0.05,0.5,50,True,6.777531130995871,2.6033691883779895
32,0.05,0.5,50,False,6.7159063025623915,2.5915065700403677
32,0.05,0.5,100,True,6.181528719265226,2.4862680304555314
32,0.05,0.5,100,False,6.410847613760884,2.5319651683545894
